기술도감id,직군id,언어,프레임워크,라이브러리,라이브러리 url
TE0001,JO0001,JavaScript,React,Axios,https://axios-http.com/docs/intro
TE0002,JO0001,JavaScript,Angular,Reactive Forms,Angular - Reactive forms
TE0003,JO0002,Java,Spring,JPA,https://docs.spring.io/spring-data/jpa/reference/index.html
TE0004,JO0002,Python,FastAPI,Pydantic,https://docs.pydantic.dev/
TE0005,JO0003,TypeScript,Next.js,Zustand,https://zustand.docs.pmnd.rs/
TE0006,JO0004,Python,scikit-learn,pandas,https://pandas.pydata.org/docs/
TE0007,JO0004,Python,scikit-learn,NumPy,https://numpy.org
TE0008,JO0005,Scala,Spark,MLlib,https://spark.apache.org/docs/latest/ml-guide.html
TE0009,JO0006,R,Shiny,ggplot2,https://ggplot2.tidyverse.org/
TE0010,JO0007,Kotlin,Jetpack Compose,Retrofit,https://square.github.io/retrofit/
TE0011,JO0008,Swift,SwiftUI,Alamofire,https://alamofire.github.io/Alamofire/
TE0012,JO0009,Dart,Flutter,Provider,https://pub.dev/packages/provider
TE0013,JO0010,C,,CMSIS,https://arm-software.github.io/CMSIS_5/General/html/index.html
TE0014,JO0011,C++,mbed OS,RTOS,https://www.freertos.org/Documentation/02-Kernel/07-Books-and-manual/01-RTOS_book
TE0015,JO0012,C++,OpenFrameworks,OpenCV,https://docs.opencv.org/4.x/index.html
TE0016,JO0013,ABAP,SAP NetWeaver,SE80,https://help.sap.com/docs/SAP_NETWEAVER_750/bd833c8355f34e96a6e83096b38bf192/cd3965595f154c6895a486b7d006a010.html
TE0017,JO0014,C++,OpenGL,GLM,https://github.com/g-truc/glm
TE0018,JO0015,C#,Unity,XR Toolkit,https://docs.unity3d.com/Packages/com.unity.xr.interaction.toolkit@latest/
TE0019,JO0016,SQL,,pgAdmin,https://www.pgadmin.org/docs/
TE0020,JO0017,Bash,,net-tools,https://linux.die.net/man/8/netstat
TE0021,JO0018,Python,,cryptography,https://cryptography.io/en/latest/
TE0022,JO0019,Solidity,Hardhat,web3.js,https://web3js.readthedocs.io/
TE0023,JO0020,Python,TensorFlow,transformers,https://huggingface.co/docs/transformers/index
TE0024,JO0021,Python,PyTorch,scikit-learn,https://scikit-learn.org/stable/documentation.html
TE0025,JO0022,Zendesk,,Zendesk API,https://developer.zendesk.com/api-reference/
TE0026,JO0023,Java,JUnit,Mockito,https://site.mockito.org/
TE0027,JO0024,Jira,,Jira Software,https://developer.atlassian.com/cloud/jira/platform/rest/v3/intro/
TE0028,JO0025,Notion,,Notion API,https://developers.notion.com/docs
TE0029,JO0026,Figma,,Figma API,https://www.figma.com/developers/api
TE0030,JO0027,JavaScript,React,styled-components,https://styled-components.com/docs
TE0031,JO0028,HTML/CSS,,Bootstrap,https://getbootstrap.com/docs/
TE0032,JO0029,Unity,,UnityEngine API,https://docs.unity3d.com/ScriptReference/
TE0033,JO0030,Java,Spring,Netty,https://netty.io/wiki/
TE0034,JO0031,C++,RakNet,ENet,https://github.com/lsalzman/enet
TE0035,JO0032,Notion,,Notion API,https://developers.notion.com/docs
TE0036,JO0033,Photoshop,,Adobe XD,https://www.adobe.io/apis/creativecloud/xd.html
TE0037,JO0034,Python,pandas,matplotlib,https://matplotlib.org/stable/contents.html
